id,estado,populacao,homicidio
1,São Paulo,45919049,10.27
2,Minas Gerais,21168791,20.36
3,Rio de Janeiro,17264943,38.38
4,Bahia,14873064,48.79
5,Paraná,11433957,24.37
6,Rio Grande do Sul,11377239,29.29
7,Pernambuco,9557071,57.2
8,Ceará,9132078,60.23
9,Pará,8602865,54.68
10,Santa Catarina,7164788,15.23
11,Maranhão,7075181,31.14
12,Goiás,7018354,42.8
13,Amazonas,4144597,41.19
14,Espírito Santo,4018650,37.87
15,Paraíba,4018127,33.31
16,Rio Grande do Norte,3506853,62.82
17,Mato Grosso,3484466,32.95
18,Alagoas,3337357,53.71
19,Piauí,3273227,19.45
20,Distrito Federal,3015268,20.07
21,Mato Grosso do Sul,2778986,24.29
22,Sergipe,2298696,57.38
23,Rondônia,1777225,30.68
24,Tocantins,1572866,35.93
25,Acre,881935,62.2
26,Amapá,845731,48.01
27,Roraima,605761,47.45
